ID,Province,Study_site,Latitude,Longitude,Altitude,MAT,MAP,Soil_fertility,Forest_type,Dominant_species,Stand_origin,Stand_age,MMD,Mean_DBH,Mean_height,Stand_density,GSV,Plot_dimension,Sample_size,Method,Tree_numbers,Trees,AGBt,Wood,Bark,Stem,Branch,Leaf,Crown,Reproduction,BGBt,Understory,AGBu,BGBu,Shrub,AGBs,BGBs,Floor,AGBf,BGBf,Liana,DOM,Litterfall,Suspended_branches,Dead_trees,Sources
864,Fujian,Pushang Forest Farm,26.93,117.76,420,19.4,1738,III,Phoebe forest,P. bournei,Planted,37,Min DBH,9.4,8.3,1675,49.237,400,1,Average,,39.46,30.62,20.89,5.01,25.9,3.7,1.02,4.72,NA,8.84,9.04,NA,NA,4.65,NA,NA,4.39,NA,NA,0,NA,NA,0,NA,Peng 2008
865,Fujian,Pushang Forest Farm,26.93,117.76,420,19.4,1738,III,Phoebe forest,P. bournei,Planted,37,Min DBH,11.2,10.6,1579,84.153,400,1,Average,,79.03,57.27,37.53,9.7,47.23,6.47,3.57,10.04,NA,21.76,25.42,NA,NA,11.02,NA,NA,14.4,NA,NA,0,NA,NA,0,NA,Peng 2008
866,Fujian,Pushang Forest Farm,26.93,117.76,420,19.4,1738,III,Phoebe forest,P. bournei,Planted,37,Min DBH,12.5,11.5,1523,109.689,400,1,Average,,146.13,116.51,83.4,12.35,95.75,12.52,8.24,20.76,NA,29.62,14.36,NA,NA,7.85,NA,NA,6.51,NA,NA,0,NA,NA,0,NA,Peng 2008
867,Fujian,Pushang Forest Farm,26.93,117.76,420,19.4,1738,III,Phoebe forest,P. bournei,Planted,37,Min DBH,10.2,10.71,2302,102.811,400,1,Average,,98.59,78.91,56.21,12.36,68.57,7.21,3.13,10.34,NA,19.68,21.52,NA,NA,7.14,NA,NA,14.38,NA,NA,0,NA,NA,0,NA,Peng 2008
868,Fujian,Pushang Forest Farm,26.93,117.76,420,19.4,1738,III,Phoebe forest,P. bournei,Planted,37,Min DBH,11.95,11.4,2734,178.395,400,1,Average,,111.21,81.64,51.84,11.28,63.12,12.48,6.04,18.52,NA,29.57,16.05,NA,NA,5.34,NA,NA,10.71,NA,NA,0,NA,NA,0,NA,Peng 2008
869,Guangdong,Heshan Ecological Station,22.68,112.9,85,21.7,1800,III,Pinus forest,P. massoniana,Planted,14,Min DBH,13.7,9.16,NA,NA,NA,NA,Allometry,7,108.77,103.74,NA,NA,70.31,22.7,10.73,33.43,NA,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Peng et al. 1992
870,Guangdong,Heshan Ecological Station,22.68,112.9,85,21.7,1800,III,Pinus forest,P. elliottii,Planted,5,Min DBH,7.62,4.55,NA,NA,NA,NA,Allometry,7,39.77,31.88,NA,NA,16.25,5.64,9.99,15.63,NA,7.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Peng et al. 1992
871,Guangdong,Heshan Ecological Station,22.68,112.9,30,21.7,1800,III,Acacia forest,A. mangium,Planted,7,Min DBH,10.1,7.1,NA,NA,NA,NA,Allometry,7,124.22,88.16,NA,NA,50.5,16.11,21.55,37.66,NA,36.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Peng et al. 1992
872,Guangdong,Heshan Ecological Station,22.68,112.9,30,21.7,1800,III,Acacia forest,A. auriculiformis,Planted,7,Min DBH,7.36,9.65,NA,NA,NA,NA,Allometry,7,95.89,84.44,NA,NA,53.14,14.74,16.56,31.3,NA,11.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Peng et al. 1992
873,Guangdong,Heshan Ecological Station,22.68,112.9,85,21.7,1800,III,Evergreen broadleaved mixed forest,Acacia sp. & Schima superba,Planted,7,Min DBH,4.22,5.55,NA,NA,NA,NA,Allometry,7,103.32,80.43,NA,NA,47.75,14.88,17.8,32.68,NA,22.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Peng et al. 1992
