ID,Province,Study_site,Latitude,Longitude,Altitude,MAT,MAP,Soil_fertility,Forest_type,Dominant_species,Stand_origin,Stand_age,MMD,Mean_DBH,Mean_height,Stand_density,GSV,Plot_dimension,Sample_size,Method,Tree_numbers,Trees,AGBt,Wood,Bark,Stem,Branch,Leaf,Crown,Reproduction,BGBt,Understory,AGBu,BGBu,Shrub,AGBs,BGBs,Floor,AGBf,BGBf,Liana,DOM,Litterfall,Suspended_branches,Dead_trees,Sources
816,Sichuan,Western Alpine Region of Sichuan Province,32.58,103.77,2950,7.5,697,V,Picea forest,P. asperata,Primary,59.4,Min DBH,18.92,14.53,1096,180.1,1200,210,Average,,212.77,186.28,147.91,6.75,154.66,26.34,5.28,31.62,NA,26.49,15.49,NA,NA,11.4,NA,NA,4.09,NA,NA,0,2.11,2.11,0,0,Ma et al. 2007
817,Jiangxi,Qianyanzhou Ecological Station,26.75,115.07,71,17.9,1489,II,Pinus forest,P. elliottii,Planted,21,Min DBH,NA,NA,NA,NA,400,29,Allometry,19,93.52,75.42,NA,NA,48.53,16.7,10.19,26.89,NA,18.1,12.23,7.19,5.04,NA,NA,NA,NA,NA,NA,0,16.31,16.31,0,0,Ma et al. 2008
818,Jilin,Changbaishan Nature Reserve,42.28,128,700,1.7,719,IV,Pinus forest,P. sylvestris var. sylvestriformis,Primary,All-aged,Min DBH,NA,NA,1054,NA,NA,1,Allometry,5,NA,74.065,NA,NA,50.583,12.701,10.781,23.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Man 2008
819,Jilin,Changbaishan Nature Reserve,42.28,128,1100,1.7,719,IV,Pinus forest,P. sylvestris var. sylvestriformis,Primary,All-aged,Min DBH,NA,NA,921,NA,NA,1,Allometry,5,NA,60.326,NA,NA,40.237,12.427,7.661,20.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Man 2008
820,Inner Mongolia,Helan Mountain,38.96,105.87,2384,5.6,223,V,Picea forest,P. crassifolia,Primary,75,Min DBH,12.5,10.4,1825,147.4,1200,1,Allometry,6,NA,102.36,50.69,8.66,59.35,21.64,21.37,43.01,NA,NA,3.09,NA,NA,0.98,NA,NA,2.11,NA,NA,0,NA,NA,0,NA,Mu 1982
821,Heilongjiang,Suiling Forest Region,47.77,128.04,307,-0.4,700,V,Picea forest,P. koraiensis,Planted,31,Min DBH,11.3,10.65,2858,144.56,400,1,Average,,151.127,120.052,73.503,9.886,83.389,16.154,20.509,36.663,NA,31.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Mu et al. 1995ab
822,Heilongjiang,Suiling Forest Region,47.77,128.04,290,-0.4,700,V,Picea forest,P. koraiensis,Planted,30,Min DBH,11,9.04,2150,87.489,400,1,Average,,89.4,72.78,38.921,7.59,46.511,8.067,18.202,26.269,NA,16.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Mu et al. 1995ab
823,Heilongjiang,Suiling Forest Region,47.77,128.04,400,-0.4,700,V,Picea forest,P. koraiensis,Planted,29,Min DBH,11.3,10.38,2550,125.735,400,1,Average,,130.85,110.514,68.684,12.38,81.064,11.47,17.98,29.45,NA,20.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Mu et al. 1995ab
824,Heilongjiang,Suiling Forest Region,47.77,128.04,450,-0.4,700,V,Picea forest,P. koraiensis,Planted,25,Min DBH,7.7,6.79,1925,28.83,400,1,Average,,40.967,34.155,19.851,2.891,22.742,5.482,5.931,11.413,NA,6.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Mu et al. 1995ab
825,Heilongjiang,Suiling Forest Region,47.77,128.04,420,-0.4,700,V,Picea forest,P. koraiensis,Planted,22,Min DBH,8.3,6.3,3950,63.776,400,1,Average,,84.364,74.805,33.654,6.454,40.108,12.739,21.958,34.697,NA,9.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Mu et al. 1995ab
