Latitude,Longitude,Altitude,MAT,MAP,Soil_fertility,Forest_type,Dominant_species,Stand_origin,Stand_age,Stem,Branch,Leaf,Crown,pca_0,pca_1,I,II,III,IV,V,Cunninghamia_forest,Eucalyptus_forest,Larix_forest,Other_Forest_type,Pinus_forest,Populus_forest,C._lanceolata,L._gmelinii,Other_Dominant_species,P._koraiensis,P._massoniana,P._tabuliformis,Planted,Primary,Secondary,AGBt
-0.28296019900497527,-0.00708571428571414,-0.27371978164803756,-0.5420748469680348,0.24329756073157882,IV,Cunninghamia forest,C. lanceolata,Planted,0.05434331796601075,-0.3534247549095244,-0.5571430442834829,-0.3420854512768077,-0.580891699065072,-0.9369520638911034,-0.007870462384532494,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.053522567701846
-0.5609452736318408,-0.3280000000000003,-0.3724980504289057,1.1900341356506976,-1.1877780126611421,III,Eucalyptus forest,Other,Planted,-0.5788042600375757,-0.28598663764402416,-0.30230675506453497,0.609045588773226,-0.056833728834954696,-0.09562855321450013,0.7274854344141468,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4.265857920299452
-0.7251243781094527,0.129142857142857,-0.8403951130751235,1.1601701876745127,0.6831607327233925,III,Cunninghamia forest,C. lanceolata,Planted,-0.5392325364123516,-0.6210398410199411,-0.737356804985314,-0.29169555749597187,-0.7113995617209866,-1.216558428408297,0.19599395348687368,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.6160667965241196
-0.47574626865671643,0.41714285714285726,-0.804003119313751,0.3837075402937016,1.3784283271620656,III,Other,Other,Planted,-0.6975194309132482,-0.6603824279011697,-0.31676354121599926,1.8333979560017015,0.33793229050312257,0.42279820442865595,1.9577587455991352,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3.9635712673087227
0.10634328358208966,0.29462857142857146,-0.9755653756173642,-0.13891154928953672,-1.2526426278857414,II,Populus forest,Other,Planted,-0.7370911545384723,-0.9916030825363154,-1.0239413304584577,-1.174477675877882,-1.238699963321437,-2.193054565867492,-0.3412517934197507,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2.2216970761323953
-0.32587064676616917,0.4797714285714285,-0.9755653756173642,0.44343543624607146,0.612215059821487,II,Other,Other,Secondary,0.2917736597173557,-0.24494888497360826,0.4944464150379762,-0.15290540023110896,0.3411168213132713,0.291244223526024,-0.1500525100316499,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4.40629232687842
-0.5485074626865674,0.38148571428571376,-0.7078242786586951,0.7719388639841074,0.8635654438168091,II,Other,Other,Planted,0.21263021246690736,0.7082944302887679,-0.5936393426560519,-0.8072765814057701,-0.7651891821324085,-0.7442271600901634,-0.8616886273647801,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4.839799522405391
-0.7686567164179106,-0.36182857142857117,-0.5373017936054069,0.9212586038650327,0.9223490013641023,III,Other,Other,Planted,-0.3809456419114549,-0.49242834962289433,-0.5430405911259271,-1.0628875996850276,-0.8087304033911696,-1.405481059450331,-0.5784489777257443,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3.7895163309353492
-0.5230099502487564,0.4016000000000002,-0.884585391213933,0.9063266298769399,0.8655924630425779,III,Pinus forest,P. massoniana,Planted,0.0147715943407866,2.248757915497752,0.7157628030331861,-0.06345897978277401,0.5516432581441969,1.7402709199104707,-1.2029995111002734,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5.536120932800995
0.411691542288557,0.684571428571429,-0.9079802443462439,-1.1542857804798283,-0.847238782731996,IV,Other,Other,Planted,-0.3018021946610066,0.04810842854670006,1.5149963040930563,-0.1084437292480185,1.1897074313776397,1.4908964916805731,-0.49010986494486064,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4.7485776492828204
-0.3980099502487562,0.23382857142857194,-0.5336625942292696,-0.03438773137288917,1.6216706342543128,III,Cunninghamia forest,C. lanceolata,Planted,-0.26223047103578245,0.038084839532374244,-0.21981803408265088,0.9115593109522925,0.11101999513997715,0.31570996640897986,0.8304316028689912,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.565493368835193
-0.11940298507462721,-0.11085714285714321,-0.25552378476735127,0.05520411255566618,-0.5979154179624427,II,Pinus forest,Other,Primary,0.41048883059302815,-0.26778203112535903,-0.21273137420448215,-0.4048548691352884,-0.3203391782347187,-0.5833777347687266,-0.18457215839072033,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4.218477763203211
0.480721393034826,0.7504,-0.7936054068105017,-1.452925260241679,-1.0844000321469371,IV,Pinus forest,Other,Planted,0.05434331796601075,-0.09990165570748318,0.034734788741170135,0.5358146012716652,0.1942231001251367,0.2916314753204624,0.5001628638481802,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4.47944822025505
-0.4981343283582089,0.02857142857142847,-0.7936054068105017,0.5180953061865341,0.17032486860390467,III,Cunninghamia forest,C. lanceolata,Planted,-0.34137391828623076,0.13935256972122387,0.18341291298515033,1.200996071077509,0.5365891124962209,0.9403442532696124,0.9388548451760552,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.703475874772215
